HD009,BK009,31/05/2026,550000,210000,38000,79800,877800
HD010,BK010,25/07/2026,25925000,0,1296250,2722125,29943376
HD006,BK006,30/05/2026,2975000,205000,159000,333900,3672900
HD014,BK014,22/05/2026,935000,260000,59750,125475,1380225
HD013,BK013,29/05/2026,1425000,260000,84250,176925,1946175
HD008,BK008,25/08/2026,30500000,800000,1565000,3286500,36151500
HD017,BK017,31/05/2026,765000,3070000,191750,402675,4429425
HD018,BK018,03/06/2026,665000,110000,38750,81375,895125
HD019,BK019,31/05/2026,850000,130000,49000,102900,1131900
HD021,BK021,04/06/2026,1140000,175000,65750,138075,1518825
